,serial_no,remarks_other_works,q2_cleaningenddate,address_myenv,remarks_q4,remarks_q3,remarks_q2,remarks_q1,other_works_startdate,q4_cleaningstartdate,google_for_stall,no_of_market_stalls,longitude_hc,q4_cleaningenddate,q1_cleaningstartdate,q1_cleaningenddate,status,other_works_enddate,no_of_food_stalls,q2_cleaningstartdate,description_myenv,q3_cleaningenddate,name,photourl,latitude_hc,google_3d_view,q3_cleaningstartdate,_id
33,33,nil,30/5/2022,"51 Hougang Avenue 9, Singapore 538776",nil,nil,nil,nil,NA,TBC,nil,0,103.8829472,TBC,28/2/2022,28/2/2022,Existing (new),NA,40,30/5/2022,"Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls. All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/",TBC,Ci Yuan Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,1.3749377,https://goo.gl/maps/wBG3EnQ8P3DokJNWA,TBC,33
34,34,nil,28/6/2022,"Blk 79/79A, Circuit Road, Singapore 370079/371079",Blk 79 closed from 5 Dec 2022 and Blk 79A closed on 6 Dec 2022.,Blk 79 will be closed from 21 to 22 Sep 2022 and Blk 79A will be closed from 28 to 29 Sep 2022.,Blk 79 closed on 27 Jun 2022 and Blk 79A closed on 28 Jun 2022.,Blk 79 closed on 21 Mar 2022 and Blk 79A closed on 22 Mar 2022.,NA,5/12/2022,nil,0,103.8851166,6/12/2022,21/3/2022,22/3/2022,Existing,NA,106,27/6/2022,"Built in 1971, the hawker centre is sited beside the Pelton Canal in Paya Lebar. One of the three hawker centres at Ciruit Road, the centre comprises 106 cooked food stalls. After upgrading in 2010, a new outdoor refreshment area has been added to provide a unique alfresco dining experience to patrons.",29/9/2022,Circuit Road Blk 79/79A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,1.326660037,https://goo.gl/maps/Zvz8HuSSj9LMW1GU6,21/9/2022,34
35,35,nil,11/4/2022,"Blk 80, Circuit Road, Singapore 370080",nil,nil,nil,nil,NA,17/10/2022,nil,43,103.8871536,17/10/2022,10/1/2022,10/1/2022,Existing,NA,16,11/4/2022,"Built in 1967, the hawker centre at Blk 80 Circuit Road comprises 16 cooked food stalls and 43 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",20/7/2022,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,1.327900052,https://goo.gl/maps/vx66iiVq284rAG9n9,18/7/2022,35
36,36,nil,20/6/2022,"Blk 89, Circuit Road, Singapore 370089",nil,nil,nil,nil,NA,19/12/2022,nil,92,103.8855209,19/12/2022,28/3/2022,28/3/2022,Existing,NA,41,20/6/2022,"Built in 1967, the hawker centre at Blk 89 Circuit Road comprises 40 cooked food stalls and 93 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",6/9/2022,Circuit Road Blk 89,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,1.323639989,https://goo.gl/maps/UNaidnv7oUtyPVcB8,5/9/2022,36
37,79,nil,6/4/2022,"1 Tampines Walk, Singapore 528523",nil,nil,nil,nil,NA,6/12/2022,nil,0,103.940231,7/12/2022,4/1/2022,5/1/2022,Existing (new),NA,42,5/4/2022,"Built in 2016, the hawker centre at Our Tampines Hub (OTH) consists of 42 cooked food stalls and allows patrons of all ages to enjoy affordable food in a pleasant dining environment.  Located at the 1st storey of OTH, the naturally ventilated hawker centre is designed to be family-friendly with features such as child-friendly toilet facilities and family-friendly seating. It is also designed with built-in tray return facilities at accessible locations to allow patrons to return their trays with ease.  Being the first 24-hour hawker centre in Tampines, it provides residents with all-day affordable dining options.",10/8/2022,Our Tampines Hub,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,1.352983,https://goo.gl/maps/VkRCyuv3EmHHRXXY7,9/8/2022,79
38,37,nil,7/6/2022,"Blk 353, Clementi Ave 2, Singapore 120353",nil,nil,nil,nil,NA,19/12/2022,nil,59,103.7707748,21/12/2022,7/3/2022,8/3/2022,Existing,NA,18,6/6/2022,"Built in 1978, the hawker centre has evolved into a focal point for residents to dine and engage in social bonding. Blk 353 Clementi Ave 2 comprises 18 cooked food stalls and 96 market stalls.",6/9/2022,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,1.314337969,https://goo.gl/maps/d4rjgxigfQwK3nTS9,5/9/2022,37
39,38,nil,31/5/2022,"Blk 448, Clementi Ave 3, Singapore 120448",nil,nil,nil,nil,NA,21/11/2022,nil,92,103.7645874,24/11/2022,28/3/2022,29/3/2022,Existing,NA,51,30/5/2022,"Located in the town centre of Clementi, the hawker centre at Blk 448 Clementi Ave 3 is within walking distance from Clementi MRT station and the bus interchange. Good food offerings and its strategic location make the centre popular with diners.",27/9/2022,Clementi Ave 3 Blk 448,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,1.313349962,https://goo.gl/maps/RVticbYp3ErnPe787,26/9/2022,38
40,39,nil,26/5/2022,"Blk 726, Clementi West Street 2, Singapore 120726",nil,nil,nil,nil,NA,28/11/2022,nil,135,103.7641754,29/11/2022,21/2/2022,22/2/2022,Existing,NA,60,23/5/2022,"Built in 1980, the hawker centre at Blk 726 Clementi West Street 2 consists of 60 cooked food stalls and 135 market stalls. The centre is conveniently located in close proximity to schools, housing estates and shopping complex.",30/8/2022,Clementi West Street 2 Blk 726,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg,1.30391705,https://goo.gl/maps/F8MZAzyv6G2HiFMW9,29/8/2022,39
41,40,nil,23/5/2022,"31, Commonwealth Crescent, Singapore 149644",nil,nil,nil,nil,NA,28/11/2022,nil,63,103.7994614,30/11/2022,21/2/2022,21/2/2022,Existing,NA,39,23/5/2022,The 63 market stalls are located on the lower level while the 39 cooked food stalls are located on the upper level of this two-storey market. Built in 1965 to fulfill the marketing and dining needs of residents living in the mature estate of Commonwealth Drive.,29/8/2022,Commonwealth Crescent Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg,1.307432055,https://goo.gl/maps/1UMnZAYx3DAoQAkk7,29/8/2022,40
42,51,nil,25/6/2022,"Blk 22A/B, Havelock Road, Singapore 161022/162022",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.829689,19/12/2022,21/3/2022,21/3/2022,Existing,NA,30,25/6/2022,"Built in 1969, the standalone hawker centre located in the Havelock area comprises 30 cooked food stalls. It was upgraded in 2007.",26/9/2022,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg,1.288040042,https://goo.gl/maps/U77XXprQ1CEWKTRT9,26/9/2022,51
43,41,nil,TBC,"Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003",nil,nil,nil,nil,NA,TBC,nil,0,103.7980194,TBC,28/3/2022,28/3/2022,Existing,NA,40,TBC,"Nestled within the established Tanglin Halt estate, the food centre was originally built in 1981. The three hexagonal blocks retain their unique shape after upgrading in 2009. A total of 40 cooked food stalls is housed within the centre.",TBC,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg,1.299550056,https://goo.gl/maps/adPahbhacTLmDFZc7,TBC,41
44,42,Repairs and Redecoration,30/5/2022,"271, Onan Road, Singapore 424768",nil,nil,nil,nil,1/12/2021,28/11/2022,nil,0,103.901825,28/11/2022,TBC,TBC,Existing,28/2/2022,30,30/5/2022,"Built in 1974, Dunman Food Centre has since played a vital role in providing resonably-priced cuisines to the residents of Joo Chiat area. Upgraded in 2002, the centre comprises 30 cooked food stalls.",29/8/2022,Dunman Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg,1.309412003,https://goo.gl/maps/cNXGNBNLSxyrhs478,29/8/2022,42
45,43,nil,12/4/2022,"1220, East Coast Parkway, Singapore 468960",nil,nil,nil,nil,NA,10/10/2022,nil,0,103.9343033,12/10/2022,10/1/2022,10/1/2022,Existing,NA,63,11/4/2022,"Located in the south-eastern part of Singapore, the East Coast Lagoon Food Village offers a tropical resort ambience by the sea and a wide variety of local hawker food at reasonable prices. It is a favourite haunt among sports enthusiasts and families who wish to enjoy a sumptuous meal by the sea. Popular dishes include Satay, BBQ Seafood and Chicken Wings, Zi Char, Wan Ton Noodles, Satay Bee Hoon, Beef Noodles etc.  Rated as one of the food paradises in Singapore!",18/7/2022,East Coast Lagoon Food Village,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg,1.307729959,https://goo.gl/maps/yRRSQZoBwhkNYzhr7,18/7/2022,43
46,44,nil,6/6/2022,"Blk 7, Empress Road, Singapore 260007",nil,nil,nil,nil,NA,28/11/2022,nil,68,103.805687,30/11/2022,14/3/2022,14/3/2022,Existing,NA,40,6/6/2022,"Built in 1976, the hawker centre at Blk 7 Empress Road comprises 40 cooked food stalls and 72 market stalls. Provides marketing and dining facilities to residents of Farrer estate.",5/9/2022,Empress Road Blk 7 (Empress Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg,1.316310048,https://goo.gl/maps/q1E2AYXsZretQvWT9,5/9/2022,44
47,45,nil,20/7/2022,"Blk 4A, Eunos Crescent, Singapore 402004",nil,nil,nil,nil,NA,19/12/2022,nil,71,103.9042206,20/12/2022,28/3/2022,29/3/2022,Existing,NA,42,18/7/2022,The hawker centre at Blk 4A Eunos Crescent is located within close proximity to the Eunos MRT station and bus interchange. Its strategic location coupled with a wide variety of food offerings results in high patronage especially during lunch and dinner hours.,20/9/2022,Eunos Crescent Blk 4A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg,1.320291996,https://goo.gl/maps/fYk7bQX2TssKBbzx9,19/9/2022,45
48,46,nil,7/6/2022,"Blk 69, Geylang Bahru, Singapore 330069",nil,nil,nil,nil,NA,12/12/2022,nil,127,103.8700714,14/12/2022,7/3/2022,8/3/2022,Existing,NA,84,6/6/2022,"Located near amenities such as swimming pool, industrial parks, commercial shops and residential estates, Blk 69 Geylang Bahru is a focal point where patrons get to enjoy local hawker fare at affordable prices. The hawker centre was built in 1974 and houses 84 cooked food stalls cum 127 market stalls.",13/9/2022,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg,1.321529984,https://goo.gl/maps/cwHawH4fVnuL3bNX6,12/9/2022,46
49,47,nil,22/6/2022,"1, Geylang Serai, Singapore 402001",nil,nil,nil,nil,NA,5/12/2022,nil,302,103.8974075,8/12/2022,21/3/2022,23/3/2022,Existing,NA,63,20/6/2022,"One of the most popular hawker centres in Singapore, especially with the Malay community! The hawker centre was upgraded in 2009 and currently comprises 63 cooked food stalls and 302 market stalls. Its design, which was conceived after close consultations with grassroots and stallholders, is reminiscent of rural Malay architecture. It is the third biggest hawker centre in Singapore based on stall count.",7/9/2022,Geylang Serai Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg,1.316888094,https://goo.gl/maps/GqnrSyki8jAQmoJKA,5/9/2022,47
50,48,nil,7/6/2022,"Blk 20, Ghim Moh Road, Singapore 270020",nil,nil,nil,nil,NA,12/12/2022,nil,130,103.7882919,14/12/2022,14/3/2022,15/3/2022,Existing,NA,72,6/6/2022,"Built in 1977, the hawker centre is famous for its wide spread of offerings such as Char Kway Teow, Chicken Rice, Soya Bean Drinks etc. 72 cooked food stalls and 158 market stalls at the hawker centre serve Ghim Moh  residents daily.",13/9/2022,Ghim Moh Road Blk 20,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg,1.311059952,https://goo.gl/maps/PHr6KkuyKjGB6btu8,12/9/2022,48
51,49,nil,5/4/2022,"505, Beach Road, Singapore 199583",nil,nil,nil,nil,NA,10/10/2022,nil,111,103.8638763,13/10/2022,10/1/2022,11/1/2022,Existing,NA,112,4/4/2022,"Home to lock-up stalls selling army stuff, Golden Mile Food Centre is a ""must go"" place if you are looking for affordable army / camping equipment. The food section located at the first and second levels definitely does not pale in comparison. It offers well-known local and international cuisines by 111 cooked food stalls. Fanciful food selection at great prices!",12/7/2022,Golden Mile Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg,1.302873969,https://goo.gl/maps/CtsFxzyR4fwCY7Hy7,11/7/2022,49
52,50,nil,8/6/2022,"Blk 13/14, Haig Road, Singapore 430013/430014",nil,nil,nil,nil,NA,12/12/2022,nil,146,103.8956528,15/12/2022,7/3/2022,9/3/2022,Existing,NA,72,6/6/2022,"Built in 1977, the hawker centre at Blk 13/14 Haig Road is easily visible from Changi Road. Comprising 72 cooked food stalls and 146 market stalls, its ideal location as well as the wide selection of affordable hawker fare have attracted many residents and working professionals around the vicinity.",14/9/2022,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg,1.315189958,https://goo.gl/maps/5ie9BkxCiEKvCNWF6,12/9/2022,50
53,91,nil,24/6/2022,"Blk 137, Tampines Street 11, Singapore 521137",nil,nil,nil,nil,NA,12/12/2022,nil,99,103.9445953,14/12/2022,28/3/2022,29/3/2022,Existing,NA,45,20/6/2022,"Blk 137 Tampines Street 11 is the only hawker centre in the Tampines area. Also commonly known as Tampines Round Market due to the unique circular shape of the hawker centre, it was built in 1982 to fulfill the marketing and dining needs of the resident in Tampines Town. Comprises 45 cooked food stalls and 99 market stalls. The hawker centre was voted by readers of Shin Min Daily as their favourite hawker centre for 2 years running (2008-2009) in the City Hawker Food Hunt contest.",21/9/2022,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,1.345595956,https://goo.gl/maps/iFCHubresS9AvE1s9,19/9/2022,91
54,52,nil,23/6/2022,"Blk 44, Holland Drive, Singapore 270044",nil,nil,nil,nil,NA,19/12/2022,nil,61,103.7928391,20/12/2022,21/3/2022,22/3/2022,Existing,NA,45,20/6/2022,"One of the last hawker centres to be built, Blk 44 Holland Drive has been serving the needs of residents since 1999. The two-storey hawker centre houses a market at the lower level and a food centre on the upper level. Conveniently located within walking distance from the Buona Vista MRT station.",20/9/2022,Holland Drive Blk 44 (Holland Drive Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg,1.308189988,https://goo.gl/maps/zCKhYoXRCw3WpUo7A,19/9/2022,52
55,53,nil,6/6/2022,"1, Lorong Mambong, Singapore 277700",nil,nil,nil,nil,NA,5/12/2022,nil,38,103.7949448,5/12/2022,14/3/2022,14/3/2022,Existing,NA,21,6/6/2022,"Situated right in the heart of Holland Village, the hawker centre was built in the pre-war years. One of the hawker centres with the longest history in Singapore! Surrounded by restaurants and bistros, the hawker centre remains a popular choice for patrons with its offering of affordable hawker fare. Comprises 21 cooked food stalls and 48 market stalls.",14/9/2022,Holland Village Market and Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg,1.311102033,https://goo.gl/maps/qEgtcmo2jZSLALL38,12/9/2022,53
56,54,nil,7/6/2022,"Blk 105, Hougang Ave 1, Singapore 530105",nil,nil,nil,nil,NA,12/12/2022,nil,120,103.890213,16/12/2022,28/3/2022,29/3/2022,Existing,NA,51,6/6/2022,"Also known as Hougang 105 Hainanese Village Centre, the hawker centre underwent a major facelift in 2005. A very popular hawker centre in the Hougang area, especially during the weekends. Serving the needs of both the residents of Lorong Ah Soo as well as the industrial area across at Defu Lane, there are currently 51 cooked food stalls and 120 market stalls within the centre.",13/9/2022,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg,1.354089975,https://goo.gl/maps/tryP2p2dgsPBwHuVA,12/9/2022,54
57,55,nil,24/5/2022,"Blk 209, Hougang Street 21, Singapore 530209",nil,nil,nil,nil,NA,28/11/2022,nil,118,103.8859253,2/12/2022,21/2/2022,21/2/2022,Existing,NA,65,23/5/2022,"Conveniently situated in the heartlands of Kovan, the hawker centre at Blk 209 Hougang Street 21 is minutes away from Kovan MRT. Built in 1983, the centre houses 65 cooked food stalls and 118 market stalls. Be prepared to queue for your favourite dish at the popular cooked food stalls within the hawker centre!",30/8/2022,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg,1.359079003,https://goo.gl/maps/8qhSVhqjSoe6dTNe9,29/8/2022,55
58,56,nil,21/6/2022,"Blk 4A, Jalan Batu, Singapore 432004",nil,nil,nil,nil,NA,28/11/2022,nil,53,103.8839798,29/11/2022,7/3/2022,8/3/2022,Existing,NA,52,20/6/2022,"Built in 1969, Blk 4A Jalan Batu comprises both a market and food section. The centre houses 52 cooked food stalls and 53 market stalls.",6/9/2022,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg,1.302430034,https://goo.gl/maps/CBGnutiiCbRtKxMa6,5/9/2022,56
59,57,nil,4/4/2022,"Blk 112, Jalan Bukit Merah, Singapore 160112",nil,nil,nil,nil,NA,3/10/2022,nil,96,103.8260727,3/10/2022,10/1/2022,10/1/2022,Existing,NA,28,4/4/2022,"Situated in the mature estate of Jalan Bukit Merah, the hawker centre at Blk 112 Jalan Bukit Merah satisfies both the marketing and dining needs of the residents nearby.",4/7/2022,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg,1.280069947,https://goo.gl/maps/N2pakYQF64JmiAc6A,4/7/2022,57
60,58,nil,21/6/2022,"Blk 6, Jalan Bukit Merah, Singapore 150006",nil,nil,nil,nil,NA,12/12/2022,nil,48,103.8081894,13/12/2022,7/3/2022,8/3/2022,Existing,NA,96,20/6/2022,"Fondly known as ABC Brickworks Market, it is within close proximity to Alexandra Food Village and IKEA. The hawker centre, which was built in 1974, is another alternative for the residents of Queenstown and Bukit Merah.  Patrons can find delicious yet affordable hawker fare at the centre.",20/9/2022,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg,1.287009954,https://goo.gl/maps/oxhQxoVnYBgmvETRA,19/9/2022,58
61,59,nil,24/5/2022,"Blk 1, Jalan Kukoh, Singapore 161001",nil,nil,nil,nil,NA,21/11/2022,nil,0,103.8399963,21/11/2022,28/2/2022,28/2/2022,Existing,NA,21,23/5/2022,"Built in 1969, Blk 1 Jalan Kukoh used to consist of both a market and food section. After upgrading in 2010, the centre was converted to a food centre with 21 cooked food stalls.",22/8/2022,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg,1.288319945,https://goo.gl/maps/cc3B35wLKYAFh6hV7,22/8/2022,59
62,60,nil,21/6/2022,"Blk 347, Jurong East Ave 1, Singapore 600347",nil,nil,nil,nil,NA,26/12/2022,nil,91,103.7315826,27/12/2022,28/3/2022,29/3/2022,Existing,NA,56,20/6/2022,"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 347 Jurong East Ave 1 is popular with residents living in the area. A wide variety of food and market produce is offered at the hawker centre by the 56 cooked food stalls and 169 market stalls. It was built in 1984 to cater to the dining and marketing needs of residents.",6/9/2022,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,1.345360041,https://goo.gl/maps/982iT24nEKUU33788,5/9/2022,60
63,61,Repairs and Redecoration,7/6/2022,"Blk 254, Jurong East Street 24, Singapore 600254",nil,nil,nil,nil,24/3/2022,12/12/2022,nil,87,103.7376862,13/12/2022,TBC,TBC,Existing,31/5/2022,60,6/6/2022,"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 254 Jurong East Street 24 serves the marketing and dining needs of residents living in Yuhua Village.  There are 60 cooked food stalls and 87 market produce stalls operating within the hawker centre. Originally built in 1983.",20/9/2022,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg,1.343433023,https://goo.gl/maps/DXaP841L19oQhtNG8,19/9/2022,61
64,62,nil,TBC,"Blk 50, Jurong West St 61, Singapore 648202",nil,nil,nil,nil,NA,TBC,nil,14,103.697374,TBC,TBC,TBC,Under Construction,NA,34,TBC,"Completed in 2017, Jurong West Hawker Centre provides residents a comfortable and clean dining environment with natural ventilation and family-friendly features such as child-friendly toilet facilities and family-friendly seating, as well as tray-return facilities at accessible locations. To ensure affordable meals for the residents, all the stalls are serving at least two items priced at $2.80 or below.",TBC,Jurong West Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,1.341223,https://goo.gl/maps/cEQ6DfWrvQ24cKFm7,TBC,62
