,serial_no,remarks_other_works,q2_cleaningenddate,address_myenv,remarks_q4,remarks_q3,remarks_q2,remarks_q1,other_works_startdate,q4_cleaningstartdate,google_for_stall,no_of_market_stalls,longitude_hc,q4_cleaningenddate,q1_cleaningstartdate,q1_cleaningenddate,status,other_works_enddate,no_of_food_stalls,q2_cleaningstartdate,description_myenv,q3_cleaningenddate,name,photourl,latitude_hc,google_3d_view,q3_cleaningstartdate,_id
65,63,nil,7/6/2022,"Blk 505, Jurong West Street 52, Singapore 640505",nil,nil,nil,nil,NA,12/12/2022,nil,130,103.7184601,14/12/2022,10/1/2022,10/1/2022,Existing,NA,60,6/6/2022,"The hawker centre at Blk 505 Jurong West Street 52 was built in 1985.  Located in the heart of the Jurong West estate, the centre serves patrons from the nearby residential flats and schools.  Last upgraded in 2009, the centre comprises a total of 190 stalls - 60 cooked food and 130 market stalls.",13/9/2022,Jurong West Street 52 Blk 505,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,1.349699974,https://goo.gl/maps/m3LqaGZoRPxjgmrZ9,12/9/2022,63
66,64,nil,6/6/2022,"17, Old Airport Road, Singapore 397972",nil,nil,nil,nil,NA,12/12/2022,nil,78,103.8841476,14/12/2022,14/3/2022,14/3/2022,Existing,NA,16,6/6/2022,"Located just minutes away from Blk 51 Old Airport Road, the Kallang Estate Fresh Market and Food Centre provides both dining and marketing services for Kallang residents. Built in 1959, the centre comprises 16 cooked food stalls and 78 market stalls.",12/9/2022,Kallang Estate Fresh Market and Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg,1.307112455,https://goo.gl/maps/EmMR63uxXeu456nB8,12/9/2022,64
67,65,nil,28/6/2022,"Blk 676, Woodlands Drive 71, Singapore 730676",nil,nil,nil,nil,NA,5/12/2022,nil,0,103.800735,7/12/2022,21/3/2022,22/3/2022,Existing (new),NA,43,27/6/2022,"Built in 2017, the Kampung Admiralty Hawker Centre is a communal dining space which allows patrons to feast on Singapores favourite street food while learning the cultural diversity of our local food.  The centre consists of 43 cooked food stalls.  The centre features natural ventilation, family-friendly features, such as child-friendly toilet facilities.",13/9/2022,Kampung Admiralty Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,1.440119,https://goo.gl/maps/1oSw88k83XpFMAMJ8,12/9/2022,65
68,66,nil,24/5/2022,"Blk 84, Marine Parade Central, Singapore 440084",nil,nil,nil,nil,NA,12/12/2022,nil,143,103.9063873,13/12/2022,21/2/2022,22/2/2022,Existing,NA,55,23/5/2022,"Located across Parkway Parade Shopping Centre, the hawker centre has been around since 1976. It is popular with patrons throughout the day. A wide variety of local food is available at the hawker centre including Char Kway Teow, Beef Noodles, Economical Rice, Desserts etc.  Comprises 55 cooked food stalls and 143 market stalls.",15/9/2022,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,1.302330017,https://goo.gl/maps/NydiqM9WMSnLKTcA9,12/9/2022,66
69,67,nil,7/6/2022,"Blk 50A, Marine Terrace, Singapore 441050",nil,nil,nil,nil,NA,28/11/2022,nil,87,103.9157867,1/12/2022,14/3/2022,15/3/2022,Existing,NA,24,6/6/2022,Built in 1975 to serve the residents living within the Marine Terrace estate. The hawker centre is located just next to the Marine Parade Town Council. Comprises 24 cooked food stalls and 87 market stalls.,6/9/2022,Marine Terrace Blk 50A (50A Marine Terrace),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,1.305809975,https://goo.gl/maps/RSpC6f5gHC4TufUo6,5/9/2022,67
70,68,nil,18/6/2022,"5, Cross Street, Singapore 048418",nil,nil,nil,nil,NA,17/12/2022,nil,0,103.8488473,17/12/2022,19/3/2022,19/3/2022,Existing,NA,53,18/6/2022,Due to the redevelopment of Market Street Food Centre (Golden Shoe Carpark) an interim hawker centre has been built to ensure continuity of stallholders' business and availability of affordable food options for patrons in the vicinity.  The interim centre commenced operations on 1 Aug 2017.,17/9/2022,Market Street Interim Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262225979894.jpg,1.281567926,https://goo.gl/maps/rSk2ZoC2JkSDXjFB8,17/9/2022,68
71,69,nil,7/6/2022,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",nil,nil,nil,nil,NA,19/12/2022,nil,112,103.7772598,21/12/2022,7/3/2022,8/3/2022,Existing,NA,52,6/6/2022,"Built in 1975, the hawker centre at Blk 20/21 Marsiling Road houses 52 cooked food stalls and 112 market stalls.  Upgraded in 2009.",6/9/2022,Marsiling Lane Blk 20/21,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,1.443989992,https://goo.gl/maps/nYC5TqgCVJgYyvfP6,5/9/2022,69
72,70,nil,14/6/2022,"Blk 4,Woodlands St 12,Singapore738623",nil,nil,nil,nil,NA,12/12/2022,nil,0,103.779881,14/12/2022,14/3/2022,15/3/2022,Existing (new),NA,70,13/6/2022,"Built in 2017, and located close to the heart of Woodlands, Marsiling Mall Hawker Centre offers residents convenient access to a variety of good and affordable hawker food. This hawker centre is also situated adjacent to Woodlands Sports Centre, bringing hawker food to the doorstep of sports facility users.",20/9/2022,Marsiling Mall Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,1.433543,https://goo.gl/maps/Rc9a9cNvaAqvN3bn6,19/9/2022,70
73,77,nil,9/5/2022,"861, North Bridge Road, Singapore 198783",nil,nil,nil,nil,NA,14/11/2022,nil,82,103.8638611,14/11/2022,21/2/2022,22/2/2022,Existing,NA,37,9/5/2022,Originally built in 1973 as a two-storey building. North Bridge Road Market was converted into a single-storey hawker centre after its upgrading in 2005. The centre now comprises 37 cooked food stalls and 82 market stalls.,31/8/2022,North Bridge Road Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg,1.305847049,https://goo.gl/maps/CXZqNHAyE9ojju4t7,29/8/2022,77
74,71,nil,6/6/2022,"1, Kadayanallur Street, Singapore 069184",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.8444595,19/12/2022,14/3/2022,14/3/2022,Existing,NA,103,6/6/2022,"Maxwell Food Centre began its roots in 1935. One of the iconic hawker centres in Singapore, the food centre now consists of 103 cooked food stalls. Popular hawker fare such as Chicken Rice, Tapioca Kueh, Porridge, Desserts and more can be found here.",21/9/2022,Maxwell Food Centre (Kim Hua Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg,1.280550957,https://goo.gl/maps/xN3zBUH1zDAKs5AH6,19/9/2022,71
75,72,nil,7/6/2022,"Blk 159, Mei Chin Road, Singapore 140159",nil,nil,nil,nil,NA,19/12/2022,nil,66,103.8029633,21/12/2022,21/3/2022,22/3/2022,Existing,NA,47,6/6/2022,"Built in 1970 to serve the Mei Ling estate, the hawker centre at Blk 159 Mei Chin Road was upgraded in 2009 to improve circulation space and ventilation. Comprises 47 cooked food stalls and 66 market stalls.",13/9/2022,Mei Chin Road Blk 159 (Mei Chin Road Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,1.293300033,https://goo.gl/maps/AZhzQXxPTsF8mU669,12/9/2022,72
76,73,nil,7/6/2022,"Blk 32, New Market Road, Singapore 050032",nil,nil,nil,nil,NA,5/12/2022,nil,0,103.8425903,6/12/2022,7/3/2022,8/3/2022,Existing,NA,87,6/6/2022,"Fondly known as People's Park Complex, it is located right in the heart of the bustling Chinatown. It is a favourite haunt for elderly folks to catch up and enjoy a delicious yet affordable meal.  Extremely accessible by bus or MRT. Upgraded in 2005, it has 87 cooked food stalls located on the ground floor. The second and third floors comprise HDB shops selling fabrics, fashion and home wares.",6/9/2022,New Market Road Blk 32 (People's Park Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg,1.284870982,https://goo.gl/maps/XMk5ztrP752Kajb7A,5/9/2022,73
77,74,nil,16/6/2022,"Blk 208B, New Upper Changi Road, Singapore 462208",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.930477,20/12/2022,21/3/2022,22/3/2022,Existing,NA,70,13/6/2022,"Completed in 2014, this new food centre replaces the hawker centre at Blk 207 Upper Changi Road.  Also know as Bedok Interchange Hawker Centre,  it houses more seating areas for diners, more parking lots at the adjacent multi-storey carpark, and high-volume, low-speed cooling fans to provide patrons a more comfortable and cooler dining experience.  The centre also has NETS cashless payment system implemented at food stalls and free wireless internet connection via Wireless@SG for the convenience of patrons.",20/9/2022,New Upper Changi Road Blk 208B,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,1.324629,https://goo.gl/maps/PiJvSgpkcnWymhmx7,19/9/2022,74
78,75,nil,6/6/2022,"Blk 58, New Upper Changi Road, Singapore 461058",nil,nil,nil,nil,NA,28/11/2022,nil,147,103.940155,2/12/2022,7/3/2022,7/3/2022,Existing,NA,48,6/6/2022,"Comprising a market produce and cooked food section, the hawker centre at Blk 58 New Upper Changi Road was built in 1978 to serve the marketing and dining needs of patrons living in Bedok South. Especially popular during the breakfast and lunch hours.",12/9/2022,New Upper Changi Road Blk 58,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg,1.32516551,https://goo.gl/maps/5gG523R9LyQ89KWLA,12/9/2022,75
79,76,nil,7/6/2022,"500, Clemenceau Ave North, Singapore 229495",nil,nil,nil,nil,NA,5/12/2022,nil,0,103.8397293,6/12/2022,14/3/2022,15/3/2022,Existing,NA,83,6/6/2022,"Popular with both locals and tourists alike.  Often rated by foodies as one of the best hawker centres in Singapore, Newton Food Centre is well known for dishes like BBQ Seafood, Hokkien Mee, Po Piah, Satay, Fried Carrot Cake etc.  Extremely crowded during dinner and supper time, this is definitely a hawker centre that you must visit!  Located in the Cairnhill / Newton area and a stone's throw away from Newton MRT.",20/8/2022,Newton Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg,1.312224984,https://goo.gl/maps/qeDc8Kn2Yo85NpZ2A,18/8/2022,76
80,80,nil,7/6/2022,"121, Pasir Panjang Road, Singapore 118543",nil,nil,nil,nil,NA,21/11/2022,nil,0,103.7915573,21/11/2022,28/2/2022,28/2/2022,Existing,NA,45,6/6/2022,"Situated along Pasir Panjang Road and near to industrial estates, the food centre comprises 45 cooked food stalls and serves a variety of hawker fare including BBQ Seafood and Zi Char. Built in 1978.",29/8/2022,Pasir Panjang Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,1.275658965,https://goo.gl/maps/s4hcBJxpBkBjf7ix7,29/8/2022,80
81,81,nil,24/5/2022,"Blk 110, Pasir Ris Central, Singapore 519641",nil,nil,nil,nil,NA,21/11/2022,nil,0,103.951364,23/11/2022,21/2/2022,22/2/2022,Existing (new),NA,42,23/5/2022,"Completed in Jan 2018, Pasir Ris Central Hawker Centre is a centre which houses 42 cooked food stalls across two levels. On the ground floor, 20 cooked food stalls will serve a variety of local hawker fare, while on the upper floor there will be 22 cooked food stalls serving modern cuisines. Along with a family dining area with child-friendly tables and chairs, and handicap friendly access, this centre also offers cashless payments.",23/8/2022,Pasir Ris Central Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,1.373318,https://goo.gl/maps/jKsUm747tTNARdJu8,22/8/2022,81
82,82,nil,8/6/2022,"Blk 270, Queen Street, Singapore 180270",nil,nil,nil,nil,NA,5/12/2022,nil,148,103.8541412,6/12/2022,7/3/2022,8/3/2022,Existing,NA,86,6/6/2022,"Strategically located near places of interests like the famous Guan Yin Temple and Bugis Village, the hawker centre is popular with both locals and tourists alike. A wide array of good local cuisines is served by well-known stalls operating at the hawker centre.  The hawker centre is also famous for dried seafood items and textiles, sold at the lock-up stalls withiin the market section.",13/9/2022,Queen Street Blk 270 (Albert Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg,1.301120043,https://goo.gl/maps/1whYJbmF3bLSQcjV8,12/9/2022,82
83,83,nil,21/6/2022,"Blk 79, Redhill Lane, Singapore 150079",nil,nil,nil,nil,NA,19/12/2022,nil,122,103.8183975,20/12/2022,21/3/2022,22/3/2022,Existing,NA,0,20/6/2022,"Built in 1969, the standalone market offers a variety of fresh market produce to serve the needs of Redhill residents. The centre was upgraded in 2005 and comprises 122 market stalls.  Within walking distance from Redhill MRT.",20/9/2022,Redhill Lane Blk 79 (Redhill Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg,1.287909985,https://goo.gl/maps/oV1q9P4JbjTfcZvk6,19/9/2022,83
84,84,nil,21/6/2022,"Blk 85, Redhill Lane, Singapore 150085",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.8183975,20/12/2022,21/3/2022,22/3/2022,Existing,NA,96,20/6/2022,"Build in 1972 to complement the market next door, Blk 85 Redhill Lane is a standalone food centre comprising 96 cooked food stalls. A good variety of food can be found within the hawker centre.  Within walking distance from Redhill MRT.",20/9/2022,Redhill Lane Blk 85 (Redhill Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,1.287400007,https://goo.gl/maps/AyBPvEx2ob1dgaPG8,19/9/2022,84
85,90,nil,24/5/2022,"3, Yung Sheng Road, Singapore 618499",nil,nil,nil,nil,NA,28/11/2022,nil,58,103.7216187,30/11/2022,28/2/2022,1/3/2022,Existing,NA,122,23/5/2022,"Taman Jurong Market and Food Centre is an amalgamation of  3 hawker centres, namely Corporation Drive Market, Yung Sheng Food Centre and Corporation Drive Food Centre. Comprises 123 cooked food stalls and 57 market stalls.",23/8/2022,Taman Jurong Market and Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,1.334681034,https://goo.gl/maps/mdUQJgNKCyqB6umS8,22/8/2022,90
86,85,nil,11/4/2022,"590, Upper Thomson Road, Singapore 574419",nil,nil,nil,nil,NA,10/10/2022,nil,0,103.8290329,10/10/2022,3/1/2022,5/1/2022,Existing,NA,36,11/4/2022,"Built in 1974, this centre is nestled along Upper Thomson Road and offers a wide variety of food such as Fish / Seafood Soup, Char Kway Teow, Ngoh Hiang, Pasta etc.  The centre comprises 36 cooked food stalls.",11/7/2022,Sembawang Hills Food Centre (Jalan Leban Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg,1.372419953,https://goo.gl/maps/1Prs8uB9sBv4AfZj7,11/7/2022,85
87,86,nil,17/6/2022,"49A, Serangoon Garden Way, Singapore 555945",nil,nil,nil,nil,NA,20/12/2022,nil,36,103.8669815,20/12/2022,10/3/2022,10/3/2022,Existing,NA,46,16/6/2022,"Within walking distance from the famous Chomp Chomp Food Centre, the spacious Serangoon Garden Market is an alternative food paradise where residents satisfy their palates.  Equipped also with a market produce section, patrons can discover true gems within the centre.  Take a look around and you can't miss those stalls that are highly rated by food gurus!",22/9/2022,Serangoon Garden Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg,1.363540053,https://goo.gl/maps/SaRrgobEjCc3j7uZ9,22/9/2022,86
88,87,Repairs and Redecoration,TBC,"Blk 320, Shunfu Road, Singapore 570320",nil,nil,nil,nil,28/2/2022,5/12/2022,nil,51,103.8370285,5/12/2022,TBC,TBC,Existing,28/5/2022,31,TBC,"Built in 2000, the hawker centre at Blk 320 Shunfu Road is the last hawker centre to be built. Also known as Shunfu Mart, the centre houses 31 cooked food stalls and 51 market stalls.",5/9/2022,Shunfu Road Blk 320 (Shunfu Mart),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,1.351819992,https://goo.gl/maps/SBvivyjxC57GYys49,5/9/2022,87
89,88,nil,7/6/2022,"Blk 49, Sims Place, Singapore 380049",nil,nil,nil,nil,NA,12/12/2022,nil,78,103.8793793,14/12/2022,7/3/2022,8/3/2022,Existing,NA,66,6/6/2022,"Also known as Sims Vista Market and Food Centre, the hawker centre is nestled within the idyllic Sims Vista estate. Originally built in 1976, the hawker centre was upgraded in 2006 to improve its physical facade and provide a more hygienic environment for both stallholders and patrons alike. 66 cooked food stalls and 78 market stalls serve patrons of the hawker centre.",13/9/2022,Sims Place Blk 49 (Sims Vista Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,1.317100048,https://goo.gl/maps/3RhWDZHLJAC48ZGD6,12/9/2022,88
90,89,nil,10/5/2022,"Blk 335, Smith Street, Singapore 050335",nil,nil,nil,nil,NA,14/11/2022,nil,477,103.8428802,15/11/2022,21/2/2022,23/2/2022,Existing,NA,226,9/5/2022,"Original built in 1983, Blk 335 Smith Street is also commonly known as Chinatown Complex. It is the largest hawker centre in Singapore comprising a total of 703 stalls! After upgrading in 2008, the building has been transformed into an architecture of strong Chinese influence with a modern twist. Situated in the Chinatown area, the centre now comes with better amenities and increased seating capacity. A favourite hang-out place for residents to reminisce good old days while enjoying the wide array of local dishes offered.",16/8/2022,Smith Street Blk 335 (Chinatown Complex Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,1.282299995,https://goo.gl/maps/jbbCi7TsmYt9KB9j6,15/8/2022,89
91,92,nil,6/6/2022,"48A, Tanglin Halt Road, Singapore 148813",nil,nil,nil,nil,NA,5/12/2022,nil,89,103.7976837,7/12/2022,21/3/2022,21/3/2022,Existing,NA,28,6/6/2022,"Built way back in 1964, Tanglin Halt Market is an iconic hawker centre within the Tanglin Halt estate. The hawker centre was given a facelift in 2003, and currently comprises 28 cooked food stalls and 89 market stalls.",12/9/2022,Tanglin Halt Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,1.300850034,https://goo.gl/maps/zfSSyBjJHQh4RczL6,12/9/2022,92
92,93,nil,18/6/2022,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",nil,nil,nil,nil,NA,15/12/2022,nil,108,103.8432312,17/12/2022,12/3/2022,12/3/2022,Existing,NA,52,18/6/2022,"Located near the Tanjong Pagar Plaza, the hawker centre serves some of the locals' favourite dishes such as Hainanese Chicken Rice, Curry Fish Head and Seafood Soup. Built in 1977, the centre has 52 cooked food stalls and 108 market stalls to serve the needs of the patrons.",17/9/2022,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,1.276679993,https://goo.gl/maps/QscF8oPAszZ2PCBs9,17/9/2022,93
93,94,nil,7/6/2022,"Blk 37A, Teban Garden Road, Singapore 601037",nil,nil,nil,nil,NA,21/11/2022,nil,52,103.7420807,23/11/2022,7/3/2022,8/3/2022,Existing,NA,28,6/6/2022,"Located near Pandan Reservoir, the hawker centre comprises 28 cooked food stalls and 52 market stalls.  Built in 1976 to serve residents staying nearby.",30/8/2022,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,1.320517302,https://goo.gl/maps/EWsfs4tFKyunzLYJ6,29/8/2022,94
94,95,nil,7/6/2022,"Blk 11, Telok Blangah Crescent, Singapore 090011",nil,nil,nil,nil,NA,12/12/2022,nil,77,103.8187332,14/12/2022,28/3/2022,29/3/2022,Existing,NA,56,6/6/2022,"The hawker centre was built in 1974 to serve the dining and marketing needs of residents living in the Telok Blangah area.  After its facelift in 2009, the upgraded centre boasts enhanced features such as ramps and wider circulation spaces for the physically challenged and elderly patrons.",13/9/2022,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif,1.277439952,https://goo.gl/maps/VtogxggnkseugiPU6,12/9/2022,95
95,96,nil,23/5/2022,"Blk 79, Telok Blangah Drive, Singapore 100079",nil,nil,nil,nil,NA,14/11/2022,nil,0,103.8076782,14/11/2022,21/2/2022,21/2/2022,Existing,NA,40,23/5/2022,"Situated directly opposite the Telok Blangah Community Centre, the hawker centre is a convenient location where residents of Telok Blangah can get to enjoy palatable local cuisines at affordable rates from the 40 cooked food stalls.",23/8/2022,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg,1.27342999,https://goo.gl/maps/AZkXv5goqac3R85L8,22/8/2022,96
96,97,nil,23/5/2022,"Blk 82, Telok Blangah Drive, Singapore 100082",nil,nil,nil,nil,NA,14/11/2022,nil,64,103.8079987,14/11/2022,21/2/2022,21/2/2022,Existing,NA,0,23/5/2022,"Built in 1972, the standalone market at Blk 82 Telok Blangah Drive offers a variety of fresh produce where residents can fulfill their marketing needs. Comprises 144 market stalls.",23/8/2022,Telok Blangah Drive Blk 82 (Telok Blangah Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg,1.273980021,https://goo.gl/maps/hGhqgJcc28mg3Y8b8,22/8/2022,97
97,98,nil,4/4/2022,"Blk 36, Telok Blangah Rise, Singapore 090036",nil,nil,nil,nil,NA,3/10/2022,nil,103,103.8221283,3/10/2022,10/1/2022,10/1/2022,Existing,NA,32,4/4/2022,"Located near the scenic Mount Faber Park, the hawker centre has been serving the dining and marketing needs of residents in the vicinity since the 1970s.",4/7/2022,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg,1.272660017,https://goo.gl/maps/9oLUVz5YTo89aecs8,4/7/2022,98
98,99,nil,9/5/2022,"30, Seng Poh Road, Singapore 168898",nil,nil,nil,nil,NA,14/11/2022,nil,259,103.832428,14/11/2022,21/2/2022,22/2/2022,Existing,NA,83,9/5/2022,"Located in one of the oldest and most charming neighbourhoods, Tiong Bahru Market was built in 1950 as a single-storey centre.  The centre merged with Blk 84 and 84A Lim Liak Street during the upgrading in 2006, and was converted into a three-storey building: market stalls on the ground floor, cooked food stalls on the second floor and a carpark on the third. It is the fourth largest hawker centre in Singapore with 259 market stalls and 83 cooked food stalls! Well-known for the many popular stalls within the centre.",29/8/2022,Tiong Bahru Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,1.284682989,https://goo.gl/maps/dZTVeyS3jLSFJuAd9,29/8/2022,99
99,100,nil,23/6/2022,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",nil,nil,nil,nil,NA,19/12/2022,nil,108,103.8447876,19/12/2022,7/3/2022,7/3/2022,Existing,NA,40,20/6/2022,"Built in 1969, the two-storey hawker centre comprises 40 cooked food stalls and 108 market stalls. Well-known for hawker fare such as Chicken Rice, Hokkien Mee etc, the hawker centre serves both the dining and marketing needs of Toa Payoh residents.",3/10/2022,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg,1.338160038,https://goo.gl/maps/DMRGz69wfByXRKAC7,3/10/2022,100
